Complaint,Category,Subcategory,Priority
The traffic signal problems is not working Please fix it.,Electrical Issues,Traffic Signal Problems,Low
Traffic Signal Problems seems broken,Electrical Issues,Traffic Signal Problems,Medium
Reported a minor issue in traffic signal problems Might be dangerous.,Electrical Issues,Traffic Signal Problems,High
The traffic signal problems needs attention Needs attention.,Electrical Issues,Traffic Signal Problems,Medium
Traffic Signal Problems seems broken Urgent check needed.,Electrical Issues,Traffic Signal Problems,Critical
The traffic signal problems is not working Needs attention.,Electrical Issues,Traffic Signal Problems,Low
The traffic signal problems needs attention.,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems is slightly malfunctioning Can someone check?,Electrical Issues,Traffic Signal Problems,Medium
Something isn't right with the traffic signal problems,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems has minor problems Might be dangerous.,Electrical Issues,Traffic Signal Problems,Low
The traffic signal problems needs attention Not working as it should.,Electrical Issues,Traffic Signal Problems,Low
I saw a small problem in the traffic signal problems.,Electrical Issues,Traffic Signal Problems,Critical
Traffic Signal Problems is not functioning well Not working as it should.,Electrical Issues,Traffic Signal Problems,Medium
The traffic signal problems is not working Not working as it should.,Electrical Issues,Traffic Signal Problems,Critical
There is an issue with the traffic signal problems Might be dangerous.,Electrical Issues,Traffic Signal Problems,Critical
The traffic signal problems needs attention Needs urgent review.,Electrical Issues,Traffic Signal Problems,Medium
There is an issue with the traffic signal problems Can someone check?,Electrical Issues,Traffic Signal Problems,Low
I saw a small problem in the traffic signal problems,Electrical Issues,Traffic Signal Problems,Medium
Reported a minor issue in traffic signal problems Not working as it should.,Electrical Issues,Traffic Signal Problems,High
There is an issue with the traffic signal problems Not working as it should.,Electrical Issues,Traffic Signal Problems,Medium
The traffic signal problems is not working Might be dangerous.,Electrical Issues,Traffic Signal Problems,Low
There is an issue with the traffic signal problems Please fix it.,Electrical Issues,Traffic Signal Problems,Low
Traffic Signal Problems has minor problems Can someone check?,Electrical Issues,Traffic Signal Problems,Critical
There is an issue with the traffic signal problems Urgent check needed.,Electrical Issues,Traffic Signal Problems,Medium
Traffic Signal Problems is not functioning well Please fix it.,Electrical Issues,Traffic Signal Problems,Critical
Traffic Signal Problems is slightly malfunctioning Not working as it should.,Electrical Issues,Traffic Signal Problems,Low
Traffic Signal Problems has minor problems Needs urgent review.,Electrical Issues,Traffic Signal Problems,Low
Something isn't right with the traffic signal problems Can someone check?,Electrical Issues,Traffic Signal Problems,Critical
The traffic signal problems is not working Can someone check?,Electrical Issues,Traffic Signal Problems,Medium
Reported a minor issue in traffic signal problems Needs quick inspection.,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems is slightly malfunctioning Needs quick inspection.,Electrical Issues,Traffic Signal Problems,Medium
The traffic signal problems needs attention,Electrical Issues,Traffic Signal Problems,Medium
I saw a small problem in the traffic signal problems Needs urgent review.,Electrical Issues,Traffic Signal Problems,High
Traffic Signal Problems has minor problems Urgent check needed.,Electrical Issues,Traffic Signal Problems,High
Reported a minor issue in traffic signal problems.,Electrical Issues,Traffic Signal Problems,Low
I saw a small problem in the traffic signal problems Might be dangerous.,Electrical Issues,Traffic Signal Problems,Low
Traffic Signal Problems has minor problems Needs attention.,Electrical Issues,Traffic Signal Problems,Medium
Traffic Signal Problems seems broken Not working as it should.,Electrical Issues,Traffic Signal Problems,Medium
The traffic signal problems is not working,Electrical Issues,Traffic Signal Problems,High
The traffic signal problems is not working Needs quick inspection.,Electrical Issues,Traffic Signal Problems,Medium
The traffic signal problems needs attention Might be dangerous.,Electrical Issues,Traffic Signal Problems,Critical
Traffic Signal Problems has minor problems.,Electrical Issues,Traffic Signal Problems,Low
Something isn't right with the traffic signal problems Needs quick inspection.,Electrical Issues,Traffic Signal Problems,Low
Traffic Signal Problems seems broken Needs attention.,Electrical Issues,Traffic Signal Problems,Low
Traffic Signal Problems is not functioning well Might be dangerous.,Electrical Issues,Traffic Signal Problems,Medium
The traffic signal problems is not working Urgent check needed.,Electrical Issues,Traffic Signal Problems,Critical
Reported a minor issue in leaking pipes Needs attention.,Plumbing Issues,Leaking Pipes,Low
I saw a small problem in the leaking pipes Please fix it.,Plumbing Issues,Leaking Pipes,Medium
Leaking Pipes has minor problems Can someone check?,Plumbing Issues,Leaking Pipes,Critical
Leaking Pipes is not functioning well Not working as it should.,Plumbing Issues,Leaking Pipes,Low
The leaking pipes needs attention,Plumbing Issues,Leaking Pipes,High
There is an issue with the leaking pipes Urgent check needed.,Plumbing Issues,Leaking Pipes,Critical
The leaking pipes needs attention Can someone check?,Plumbing Issues,Leaking Pipes,Medium
Leaking Pipes is not functioning well Needs urgent review.,Plumbing Issues,Leaking Pipes,Medium
Reported a minor issue in leaking pipes,Plumbing Issues,Leaking Pipes,Critical
Leaking Pipes seems broken Can someone check?,Plumbing Issues,Leaking Pipes,Critical
There is an issue with the leaking pipes Can someone check?,Plumbing Issues,Leaking Pipes,Low
Leaking Pipes is slightly malfunctioning Please fix it.,Plumbing Issues,Leaking Pipes,Medium
Leaking Pipes has minor problems Not working as it should.,Plumbing Issues,Leaking Pipes,Medium
Leaking Pipes is not functioning well,Plumbing Issues,Leaking Pipes,High
I saw a small problem in the leaking pipes.,Plumbing Issues,Leaking Pipes,High
Something isn't right with the leaking pipes Can someone check?,Plumbing Issues,Leaking Pipes,Medium
Leaking Pipes is not functioning well Needs quick inspection.,Plumbing Issues,Leaking Pipes,Medium
The leaking pipes is not working,Plumbing Issues,Leaking Pipes,Low
The leaking pipes is not working Not working as it should.,Plumbing Issues,Leaking Pipes,Medium
The leaking pipes needs attention Might be dangerous.,Plumbing Issues,Leaking Pipes,Medium
I saw a small problem in the leaking pipes Not working as it should.,Plumbing Issues,Leaking Pipes,Medium
The leaking pipes needs attention Needs quick inspection.,Plumbing Issues,Leaking Pipes,Medium
Leaking Pipes is slightly malfunctioning Needs quick inspection.,Plumbing Issues,Leaking Pipes,High
The leaking pipes needs attention Needs urgent review.,Plumbing Issues,Leaking Pipes,Low
Something isn't right with the leaking pipes Needs quick inspection.,Plumbing Issues,Leaking Pipes,Critical
Leaking Pipes has minor problems Urgent check needed.,Plumbing Issues,Leaking Pipes,Low
Something isn't right with the leaking pipes Please fix it.,Plumbing Issues,Leaking Pipes,High
Something isn't right with the leaking pipes Urgent check needed.,Plumbing Issues,Leaking Pipes,Medium
Leaking Pipes is not functioning well Needs attention.,Plumbing Issues,Leaking Pipes,High
Reported a minor issue in leaking pipes Please fix it.,Plumbing Issues,Leaking Pipes,High
The leaking pipes needs attention.,Plumbing Issues,Leaking Pipes,Low
Reported a minor issue in leaking pipes Urgent check needed.,Plumbing Issues,Leaking Pipes,Medium
Leaking Pipes seems broken Might be dangerous.,Plumbing Issues,Leaking Pipes,Low
Reported a minor issue in leaking pipes Not working as it should.,Plumbing Issues,Leaking Pipes,Critical
Leaking Pipes is slightly malfunctioning Urgent check needed.,Plumbing Issues,Leaking Pipes,Low
The leaking pipes is not working Needs quick inspection.,Plumbing Issues,Leaking Pipes,High
